         1 5.000000e-06     6.37941518224857825e-05
        21 1.050000e-04     1.20974061815306948e-03
        41 2.050000e-04     6.22877099503090434e-02
        61 3.050000e-04     3.10499956182516301e-01
        81 4.050000e-04     4.23698584256277822e-01
       101 5.050000e-04     4.96330092872901363e-01
       121 6.050000e-04     5.79267560212794130e-01
       141 7.050000e-04     5.73316489375561678e-01
       161 8.050000e-04     7.42056635554547483e-01
       181 9.050000e-04     9.50588280578983369e-01
       201 1.005000e-03     9.76383897183059624e-01
       221 1.105000e-03     1.01104061405842049e+00
       241 1.205000e-03     1.11285002484759699e+00
       261 1.305000e-03     1.34712565239700788e+00
       281 1.405000e-03     1.54902912185712061e+00
       301 1.505000e-03     1.65365186943839726e+00
       321 1.605000e-03     1.67707573680689292e+00
       341 1.705000e-03     1.76883156635909344e+00
       361 1.805000e-03     1.94167282373811823e+00
       381 1.905000e-03     2.14823165615028389e+00
       401 2.005000e-03     2.26183957025898907e+00
       421 2.105000e-03     2.30717711308335183e+00
       441 2.205000e-03     2.38534268380401171e+00
       461 2.305000e-03     2.53749193084275104e+00
       481 2.405000e-03     2.69862857604807083e+00
       501 2.505000e-03     2.84590825017762228e+00
       521 2.605000e-03     2.95203214121815671e+00
       541 2.705000e-03     3.03489904969159552e+00
       561 2.805000e-03     3.15352130727511204e+00
       581 2.905000e-03     3.31073707761532532e+00
       601 3.005000e-03     3.44652354083336254e+00
       621 3.105000e-03     3.56575766843547370e+00
       641 3.205000e-03     3.67463557671280050e+00
       661 3.305000e-03     3.80698096203901004e+00
       681 3.405000e-03     3.92771975349608216e+00
       701 3.505000e-03     4.05644355100160148e+00
       721 3.605000e-03     4.19939060958490007e+00
       741 3.705000e-03     4.30150190657018605e+00
       761 3.805000e-03     4.39478756382622837e+00
       781 3.905000e-03     4.55024492495130151e+00
       801 4.005000e-03     4.70225639317482358e+00
       821 4.105000e-03     4.84819442466782036e+00
       841 4.205000e-03     4.92845438550589865e+00
       861 4.305000e-03     5.01408158614159394e+00
       881 4.405000e-03     5.20414794154621685e+00
       901 4.505000e-03     5.39180319350685533e+00
       921 4.605000e-03     5.53226254640567383e+00
       941 4.705000e-03     5.65524924598305745e+00
       961 4.805000e-03     5.78123794677208203e+00
       981 4.905000e-03     5.88389123940737147e+00
      1001 5.005000e-03     6.04781812864670698e+00
      1021 5.105000e-03     6.19938953098593082e+00
      1041 5.205000e-03     6.32671410140495016e+00
      1061 5.305000e-03     6.50101011676975205e+00
