2790
   -2.30000004000000036e-01    6.01999983000000086e-02    6.72378387801030350e-21
   -2.29962483399436368e-01    6.01851695617870025e-02   -7.07867911459112331e-04
   -2.29924711911000779e-01    6.01796457898486625e-02   -1.41604094781482264e-03
   -2.29887361801681595e-01    6.01620352735562774e-02   -2.12380094192355772e-03
   -2.29850541676193704e-01    6.01254282397239853e-02   -2.83096366576152071e-03
   -2.29813201314352483e-01    6.00920780853926029e-02   -3.53835077269666403e-03
   -2.29775513585352059e-01    6.00481759442027460e-02   -4.24490481415937520e-03
   -2.29737947410618454e-01    5.99870516445698207e-02   -4.95038167414572558e-03
   -2.29700391569686829e-01    5.99313263118803272e-02   -5.65633013899820292e-03
   -2.29662689596777853e-01    5.98602811025985421e-02   -6.36065357177758445e-03
   -2.29625267453664794e-01    5.97756032293732878e-02   -7.06373763160638574e-03
   -2.29588470672794254e-01    5.96952927384913692e-02   -7.76731039847135523e-03
   -2.29551137929662696e-01    5.95967528989355885e-02   -8.46836814983577615e-03
   -2.29513416624975264e-01    5.94901814660198716e-02   -9.16846569409803837e-03
   -2.29475880500932483e-01    5.93849597969633367e-02   -9.86865515476375611e-03
   -2.29438340102874866e-01    5.92592577583879315e-02   -1.05653914955785438e-02
   -2.29400649347461988e-01    5.91309384295483700e-02   -1.12618399591332113e-02
   -2.29363186952788650e-01    5.90002601598131060e-02   -1.19576696568970634e-02
   -2.29326344649535024e-01    5.88482886719948264e-02   -1.26492481728250634e-02
   -2.29289071854818588e-01    5.86982625694235857e-02   -1.33413639270192133e-02
   -2.29251376424835562e-01    5.85414981004651613e-02   -1.40317164879391956e-02
   -2.29213813775445224e-01    5.83652620830648408e-02   -1.47175324647086190e-02
   -2.29176292827219685e-01    5.81929439432221918e-02   -1.54044086702575314e-02
   -2.29138616170507597e-01    5.80087816791295813e-02   -1.60879387529594374e-02
   -2.29101106675818955e-01    5.78092507415213300e-02   -1.67673875863397250e-02
   -2.29064266269542183e-01    5.76143204330814077e-02   -1.74481947048609476e-02
   -2.29027016418579477e-01    5.74035981200956974e-02   -1.81240421965739203e-02
   -2.28989305783914021e-01    5.71824079307951469e-02   -1.87967667902905304e-02
   -2.28951762161684058e-01    5.69641306734386954e-02   -1.94703667146623842e-02
   -2.28914215956035366e-01    5.67267802356757680e-02   -2.01373467941332387e-02
   -2.28876522317997433e-01    5.64840868934711401e-02   -2.08026291382996734e-02
   -2.28839010157956629e-01    5.62418844578650295e-02   -2.14679424242553499e-02
   -2.28802183633080969e-01    5.59795765238613324e-02   -2.21256072786031391e-02
   -2.28764977356457372e-01    5.57160630091364170e-02   -2.27829510287962458e-02
   -2.28727246620589769e-01    5.54487452238957082e-02   -2.34385035212938582e-02
   -2.28689667778523259e-01    5.51627827660506331e-02   -2.40862536699321533e-02
   -2.28652090024004356e-01    5.48793879528223297e-02   -2.47352465807981897e-02
   -2.28614518693513957e-01    5.45870868293780107e-02   -2.53800019272783818e-02
   -2.28576939649451916e-01    5.42780367481179790e-02   -2.60171182163229445e-02
   -2.28539240122783649e-01    5.39736423134887511e-02   -2.66564952666147742e-02
   -2.28502112869452462e-01    5.36567088157452049e-02   -2.72895220029029453e-02
   -2.28465253887310232e-01    5.33270165000543778e-02   -2.79162875191158594e-02
   -2.28427689272420159e-01    5.30006287288522296e-02   -2.85446891688353882e-02
   -2.28390017336818379e-01    5.26583465576228385e-02   -2.91643701658859077e-02
   -2.28352482634640946e-01    5.23088246189573197e-02   -2.97802721100061604e-02
   -2.28314914190196533e-01    5.19614680100596374e-02   -3.03972741517789247e-02
   -2.28277233281102221e-01    5.15957976014759095e-02   -3.10034924082700988e-02
   -2.28240040278649442e-01    5.12269765786981593e-02   -3.16080711932322789e-02
   -2.28203141636957874e-01    5.08570999641808630e-02   -3.22118116786660538e-02
   -2.28165610911006955e-01    5.04688641189138601e-02   -3.28039142685286333e-02
   -2.28127950198727697e-01    5.00810854543041542e-02   -3.33964760178822387e-02
   -2.28090424311035711e-01    4.96883304755554797e-02   -3.39854909419145534e-02
   -2.28052866674663846e-01    4.92794864860431753e-02   -3.45636213970645159e-02
   -2.28015145286156518e-01    4.88733594745060160e-02   -3.51437414692025232e-02
   -2.27977927641453693e-01    4.84578717930246525e-02   -3.57169280475603604e-02
   -2.27941101786697631e-01    4.80291013592419117e-02   -3.62805419889129510e-02
   -2.27903561461178100e-01    4.76038493888421566e-02   -3.68467672707501470e-02
   -2.27865879806254057e-01    4.71661440071760932e-02   -3.74031447549984103e-02
   -2.27828361088375037e-01    4.67193854979529935e-02   -3.79525974078254932e-02
   -2.27790775490149811e-01    4.62752509974391837e-02   -3.85040821674061604e-02
   -2.27753062997676503e-01    4.58157458531384745e-02   -3.90426254202173167e-02
   -2.27715827146949434e-01    4.53515596701939694e-02   -3.95774746550885126e-02
   -2.27679020698129675e-01    4.48886217505944096e-02   -4.01132519655035893e-02
   -2.27641536063802025e-01    4.44093261463020250e-02   -4.06343452856563064e-02
   -2.27603837040372015e-01    4.39286000967985812e-02   -4.11543579171295693e-02
   -2.27566296422234943e-01    4.34455243199725616e-02   -4.16719148345888746e-02
   -2.27528738059295965e-01    4.29472007797049304e-02   -4.21749239715788551e-02
   -2.27491022751168115e-01    4.24504867234821587e-02   -4.26796773530999513e-02
   -2.27453721726123381e-01    4.19475543855356431e-02   -4.31779064174815166e-02
   -2.27416911598902233e-01    4.14313582705635730e-02   -4.36626936415292280e-02
   -2.27379467308788608e-01    4.09188920769661055e-02   -4.41514353946430016e-02
   -2.27341788867005817e-01    4.03971696283610404e-02   -4.46298936785017308e-02
   -2.27304262734763229e-01    3.98652449025948055e-02   -4.50973708364112297e-02
   -2.27266685570296167e-01    3.93367790760486835e-02   -4.55687018814457181e-02
   -2.27228965968875984e-01    3.87966831971628401e-02   -4.60263435325632478e-02
   -2.27191628061493567e-01    3.82501780131019944e-02   -4.64767365619322137e-02
   -2.27154811436868415e-01    3.77055172574969552e-02   -4.69292400132682169e-02
