Time F_xx F_xy F_xz F_yx F_yy F_yz F_zx F_zy F_zz sigma_xx sigma_yy sigma_zz sigma_xy sigma_yz sigma_zx meanLamellarSpacing mean_eq_strain_ferr mean_eq_strain_cem
0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 80.17416899999998 0.0 0.0
0.199 1.00003641372082 -0.00028811631322215003 0.00011167176575037 0.00188592764938644 0.999973837277464 5.04754864432272e-05 -0.000806630005186073 5.75589087279985e-05 1.00009229687819 17555329.624171387 7921085.057385914 26110165.932902064 122909214.27599448 8293023.6833308805 8293023.6833308805 80.17555815554992 0.0 0.0
0.398 1.00004286235164 -0.00028210887273530003 0.00010994018011174 0.00193017306970288 0.9999794649449281 4.52484625216544e-05 -0.000826510872595146 5.177812927129701e-05 1.00008776043638 19410180.22338606 9663829.680414949 26283888.33845332 126773920.82687147 7443451.258973479 7443451.258973479 80.17573644970176 0.0 0.0
0.597 1.00004931098246 -0.00027610143224845 0.00010820859447311 0.00197441849001932 0.999985092612392 4.00214386000816e-05 -0.000846391740004219 4.5997349814595504e-05 1.00008322399457 21264717.752120133 11406581.89773865 26457538.840681754 130638566.30274019 6593830.790341012 6593830.790341012 80.17591447638816 0.0 0.0
0.796 1.00005575961328 -0.0002700939917616 0.00010647700883448 0.00201866391033576 0.999990720279856 3.4794414678508795e-05 -0.000866272607413292 4.021657035789401e-05 1.00007868755276 23118942.202561498 13149341.723647391 26631117.44672023 134503150.7181772 5744162.268515164 5744162.268515164 80.17609233120895 0.0 0.0
0.9950000000000001 1.0000622082441 -0.00026408655127475 0.00010474542319585 0.0020629093306522 0.9999963479473201 2.9567390756935998e-05 -0.000886153474822365 3.44357909011925e-05 1.00007415111095 24972853.577542398 14892109.16402919 26804624.161313016 138367674.0774194 4894445.690815182 4894445.690815182 80.17627006012012 0.0 0.0
1.1940000000000002 1.00007332205306 -0.0002575544280588 0.0001021034453867214 0.00203379164888476 0.999980961643812 4.725738164808161e-05 -0.0008737279019715 5.445821458327322e-05 1.00009430726462 28515504.769368444 14348021.53607192 31733512.071120836 136634163.1154598 7797886.036626333 7797886.036626333 80.17668680146619 0.0 0.0
1.3930000000000002 1.00008455609857 -0.0002510087820921 9.94380038618583e-05 0.00200278316551722 0.999965033743114 6.553801725089522e-05 -0.00086046968890775 7.514566927408544e-05 1.00011509982539 32101498.944868233 13744865.874273198 36784736.669791505 134756249.87263912 10797998.240353325 10797998.240353325 80.17710992185651 0.0 0.0
1.5920000000000003 1.00009579014408 -0.0002444631361254 9.67725623369952e-05 0.00197177468214968 0.999949105842416 8.381865285370883e-05 -0.000847211475844 9.583312396489763e-05 1.00013589238616 35687299.04747253 13141585.46390197 41835733.87262544 132878208.39855452 13798047.64198334 13798047.64198334 80.17753310314602 0.0 0.0
1.7910000000000004 1.00010702418959 -0.00023791749015869998 9.41071208121321e-05 0.0019407661987821399 0.999933177941718 0.00010209928845652243 -0.00083395326278025 0.00011652057865570984 1.0001566849469299 39272905.23820517 12538180.176244475 46886503.668572865 131000038.70132267 16798034.287939217 16798034.287939217 80.17795626239743 0.0 0.0
1.9900000000000004 1.0001182582351 -0.000231371844192 9.144167928726899e-05 0.0019097577154146 0.99991725004102 0.00012037992405933603 -0.0008206950497165 0.00013720803334652204 1.0001774775077 42858317.59160366 11934649.957882665 51937046.05784753 129121740.78341791 19797958.199343394 19797958.199343394 80.17837935973301 0.0 0.0
2.1890000000000005 1.00012363466409 1.8298460972616286e-06 -1.2036814857667173e-05 0.0018071288154422598 0.9999188085191689 0.00011222730674766857 -0.0007776801554500959 0.0001282536315952853 1.0001643083466198 42877952.60361705 11349266.327541413 49122799.87842619 139161853.7544894 18502097.893207025 18502097.893207025 80.17812350599799 0.0 0.0
2.3880000000000003 1.00012870116628 0.0002470239196840124 -0.00012084933295075499 0.0017007104754379197 0.999921292202548 0.00010267610462571118 -0.0007330908336068319 0.00011773087765134759 1.00014934226904 42724789.27936771 10772080.836790584 45899288.533208594 149832463.89315203 16978864.579298433 16978864.579298433 80.17783235653738 0.0 0.0
